feature,importance
events_completed,0.8731563004352654
h_account_to_fund,0.015449830523184742
h_reg_to_verify,0.013801317249097441
channel_referral,0.013214334295792274
avg_amount,0.012878536755252879
h_verify_to_kyc,0.011192858950334901
kyc_turnaround_h,0.011122837330421794
h_kyc_to_txn,0.010919701531045824
channel_paid_social,0.0054887935225122735
avg_resolution_min,0.005236190366998133
n_transactions,0.004220907517709786
n_success,0.0035504427600021346
txn_success_rate,0.003338980709162504
n_tickets,0.002106625751382959
n_categories,0.001945809736359103
region_Giza,0.001448893456412039
region_Cairo,0.0013430822598555243
n_failed,0.0013062304843645593
age_band_35-44,0.0011237065615465783
age_band_25-34,0.0011168192987560052
device_os_iOS,0.0011133958738945076
channel_partnership,0.0009313123509223087
age_band_45-54,0.0008609458883205864
region_Sharqia,0.0008582124323949648
kyc_speed_flag,0.000749997414080368
channel_paid_search,0.0007287069086988164
region_Dakahlia,0.0003535155972865154
age_band_55+,0.0003062132288020856
device_os_Web,0.00013550081014316177
kyc_approved,0.0
kyc_had_failure,0.0
